"PAT_ZIP","SITE_ZIP","total_enc_cnt"
"01519","02215","1"
"01527","02215","1"
"01536","02481","46"
"01569","02481","6"
"01581","01803","9"
"01602","02109","1"
"01701","02169","1"
"01013","01915","2"
"01053","02138","4"
"01085","02144","3"
"01103","02109","7"
"01108","02184","2"
"01331","02481","1"
"01432","02481","2"
"01440","02184","3"
"01450","01803","20"
"01450","02481","12"
"01453","01742","4"
"01463","01803","38"
"01469","01803","7"
"01504","01915","1"
"01742","01803","52"
"01746","01824","2"
"01701","02155","22"
"01704","02481","8"
"01718","02481","3"
"01720","01742","40"
"01721","02481","164"
"01721","02109","24"
"01741","01824","29"
"01754","01824","20"
"01754","01803","33"
"01757","02467","5"
"01760","02481","1415"
"01760","02184","6"
"01770","02144","2"
"01770","01742","3"
"01772","02109","6"
"01747","02481","9"
"01749","02155","4"
"01803","02109","7"
"01803","01824","102"
"01803","02215","5"
"01803","02144","11"
"01773","02155","1"
"01773","01824","4"
"01776","01915","8"
"01776","01824","3"
"01801","01824","24"
"01801","02215","6"
"01803","01742","2"
"01821","02481","20"
"01821","02144","4"
"01850","02215","1"
"01824","02144","5"
"01826","02215","4"
"01827","01824","11"
"01830","01915","60"
"01830","02155","12"
"01830","01824","51"
"01830","01960","44"
"01831","01960","4"
"01832","01915","2"
"01834","01960","58"
"01843","02109","3"
"01851","01960","3"
"01852","01803","84"
"01852","02155","17"
"01862","02155","10"
"01880","02138","10"
"01863","02215","6"
"01864","01803","36"
"01867","01824","7"
"01876","01803","164"
"01879","01915","11"
"01886","02109","8"
"01887","02184","1"
"01887","02155","159"
"01887","02467","11"
"01890","01803","120"
"01902","02109","23"
"01902","02138","6"
"01904","02481","6"
"01905","02215","8"
"01890","02155","151"
"01890","02144","9"
"01890","02138","49"
"01930","02184","3"
"01906","01960","333"
"01906","01915","51"
"01907","02109","10"
"01907","02467","22"
"01913","02215","7"
"01915","01803","22"
"01922","01915","5"
"01923","02155","26"
"01949","01803","4"
"01960","02215","10"
"01960","01803","22"
"01950","01915","5"
"01938","01915","132"
"01961","01960","4"
"01961","01915","1"
"01969","01960","29"
"01970","01960","697"
"01970","02109","115"
"02019","02184","3"
"02043","02109","73"
"02045","02481","16"
"02032","02026","5"
"02032","02062","31"
"02035","02467","46"
"02035","01960","1"
"02035","01915","2"
"02038","02109","21"
"02038","02215","11"
"02038","01803","7"
"02048","02467","9"
"02048","02026","8"
"02051","02144","13"
"02053","02026","2"
"02053","02215","1"
"02056","02215","6"
"02056","02184","18"
"02062","02155","3"
"02067","02109","16"
"02071","02481","28"
"02072","02184","278"
"02072","01915","2"
"02081","02215","45"
"02093","02467","1"
"02108","02109","72"
"02109","02481","4"
"02109","02215","9"
"02111","02138","9"
"02112","02215","4"
"02113","02215","7"
"02113","01803","4"
"02090","02467","193"
"02090","01742","1"
"02067","02144","4"
"02119","02467","93"
"02119","02481","23"
"02119","02169","15"
"02115","02215","271"
"02118","02467","2"
"02186","02169","331"
"02176","02109","100"
"02324","02481","3"
"02327","02481","2"
"02148","01803","15"
"02169","02109","128"
"02333","02184","71"
"02333","02481","4"
"02148","01824","2"
"02180","01803","48"
"02150","01915","3"
"02151","02155","264"
"02184","01960","5"
"02190","02155","2"
"02191","02169","270"
"02191","01803","1"
"02170","01742","2"
"02199","02184","36"
"02205","02109","2"
"02205","02215","2"
"02185","02215","2"
"02185","02467","2"
"02301","02215","22"
"02135","02144","24"
"02135","02155","14"
"02141","02155","30"
"02143","02155","176"
"02124","02467","269"
"02136","02215","305"
"02136","02184","169"
"02145","02138","195"
"02145","02481","14"
"02131","02467","1086"
"02131","02184","116"
"02131","01803","4"
"02124","02155","3"
"02125","02109","218"
"02125","01960","1"
"02138","02481","12"
"02126","02215","213"
"02126","02467","269"
"02132","02215","150"
"02139","02155","25"
"02127","02144","5"
"02127","02184","43"
"02139","01742","1"
"02128","01915","13"
"02120","02215","97"
"02134","02155","6"
"02472","02138","604"
"02492","02215","6"
"02492","02062","6"
"02343","02481","23"
"02446","02467","49"
"02472","01742","6"
"02493","02138","12"
"02446","02184","9"
"02494","02138","1"
"02351","02215","39"
"02451","02481","210"
"02451","02138","49"
"02451","01803","40"
"02451","01824","2"
"02451","02155","2"
"03063","02155","5"
"03079","01960","4"
"03079","02144","1"
"03079","02155","7"
"02356","02184","42"
"02452","02467","3"
"02472","01915","3"
"02474","02215","69"
"02474","02109","63"
"11228","02215","1"
"11231","02109","1"
"11743","02215","1"
"19810","02109","2"
"27560","01824","1"
"27705","02138","1"
"28211","02109","4"
"30014","02184","1"
"30349","02215","1"
"30813","01803","1"
"48509","02109","1"
"02360","02169","14"
"03103","02184","3"
"03104","01742","2"
"03242","01824","14"
"03440","01824","3"
"03811","02215","2"
"03854","02481","7"
"03862","02144","7"
"03865","01960","2"
"02360","02215","25"
"02360","01803","2"
"02368","02169","191"
"03874","01915","5"
"03874","01803","3"
"03903","01960","10"
"04005","02481","3"
"04046","02467","1"
"05061","02481","2"
"06360","02138","1"
"06405","02215","1"
"06410","02138","4"
"06492","02109","1"
"06907","02215","1"
"07041","02215","5"
"07834","02215","4"
"02368","02215","59"
"02456","02481","18"
"55811","01915","3"
"84102","02109","1"
"85260","02155","2"
"90024","02138","1"
"90405","02481","13"
"90740","01960","17"
"91107","02215","2"
"93720","02155","2"
"94063","02144","1"
"02494","02144","2"
"02368","02062","5"
"02478","02138","439"
"02562","02184","3"
"02642","02169","1"
"02655","02215","4"
"02703","02184","7"
"02723","02184","7"
"02744","02184","3"
"02461","02467","71"
"02762","02481","2"
"02762","02155","4"
"02766","02481","17"
"02769","02109","2"
"02375","02215","3"
"02790","02481","2"
"02806","02184","3"
"02809","02169","27"
"02842","02481","2"
"02860","02109","1"
"02865","01803","3"
"02896","02155","4"
"02909","02109","13"
"03047","02215","5"
"03053","02215","4"
